Rank,Country or territory,HDI value,%annual growth(2010–2022)
1,Switzerland,0.967,0.0024
2,Norway,0.966,0.0025
3,Iceland,0.959,0.0028000000000000004
4,Hong Kong,0.956,0.0038
5,Denmark,0.952,0.0034999999999999996
7,Ireland,0.950,0.0038
9,Singapore,0.949,0.0025
10,Netherlands,0.946,0.0026
12,Liechtenstein,0.942,0.0023
15,United Kingdom,0.940,0.0024
16,New Zealand,0.939,0.0013
17,United Arab Emirates,0.937,0.0104
18,Canada,0.935,0.0022
19,South Korea,0.929,0.0036
20,Luxembourg,0.927,0.0014000000000000002
22,Slovenia,0.926,0.0033
24,Japan,0.920,0.0016
25,Israel,0.915,0.0026
27,Spain,0.911,0.004
28,France,0.910,0.0028000000000000004
29,Cyprus,0.907,0.0045000000000000005
30,Italy,0.906,0.0024
31,Estonia,0.899,0.0033
32,Czech Republic,0.895,0.0022
33,Greece,0.893,0.0018
34,Bahrain,0.888,0.008
35,Andorra,0.884,0.002
36,Poland,0.881,0.0034999999999999996
37,Latvia,0.879,0.0051
39,Croatia,0.878,0.0053
40,Qatar,0.875,0.0045000000000000005
42,Portugal,0.874,0.0042
43,San Marino,0.867,0.0032
44,Chile,0.860,0.004699999999999999
45,Turkey,0.855,0.011000000000000001
47,Hungary,0.851,0.0022
48,Argentina,0.849,0.0015
49,Kuwait,0.847,0.0036
50,Montenegro,0.844,0.0038
51,Saint Kitts and Nevis,0.838,0.0049
52,Uruguay,0.830,0.004699999999999999
53,Romania,0.827,0.0014000000000000002
54,Antigua and Barbuda,0.826,0.0018
55,Brunei,0.823,0.0013
56,Russia,0.821,0.0025
57,Bahamas,0.820,0.0021
59,Oman,0.819,0.0022
60,Trinidad and Tobago,0.814,0.003
62,Barbados,0.809,0.0018
63,Malaysia,0.807,0.0040999999999999995
64,Costa Rica,0.806,0.0039000000000000003
65,Serbia,0.805,0.0039000000000000003
66,Thailand,0.803,0.006500000000000001
67,Seychelles,0.802,0.003
69,Belarus,0.801,0.0012
70,Bulgaria,0.799,0.0009
71,Palau,0.797,0.0023
72,Mauritius,0.796,0.0044
73,Grenada,0.793,0.0015
74,Albania,0.789,0.0025
75,China,0.788,0.0102
76,Armenia,0.786,0.0052
77,Mexico,0.781,0.0037
78,Iran,0.780,0.0026
80,Bosnia and Herzegovina,0.779,0.0068000000000000005
81,Saint Vincent and the Grenadines,0.772,0.0017000000000000001
82,Dominican Republic,0.766,0.0067
83,Ecuador,0.765,0.0032
85,Cuba,0.764,0.0016
86,Moldova,0.763,0.0053
87,Maldives,0.762,0.008100000000000001
89,Azerbaijan,0.760,0.003
91,Colombia,0.758,0.0029
92,Libya,0.746,0.0031
93,Algeria,0.745,0.0027
94,Turkmenistan,0.744,0.0052
95,Guyana,0.742,0.0111
96,Mongolia,0.741,0.0048
97,Dominica,0.740,0.0006
98,Tonga,0.739,0.0034999999999999996
99,Jordan,0.736,0.001
100,Ukraine,0.734,0.0034999999999999996
101,Tunisia,0.732,0.0022
102,Marshall Islands,0.731,0.0
104,Fiji,0.729,0.0034999999999999996
105,Egypt,0.728,0.0073
106,Uzbekistan,0.727,0.0062
107,Vietnam,0.726,0.006
108,Saint Lucia,0.725,0.0007000000000000001
109,Lebanon,0.723,0.0029
110,South Africa,0.717,0.005
111,Palestine,0.716,0.0033
112,Indonesia,0.713,0.005600000000000001
113,Philippines,0.710,0.0045000000000000005
114,Botswana,0.708,0.0069
115,Jamaica,0.706,0.0006
116,Samoa,0.702,0.0002
117,Kyrgyzstan,0.701,0.0049
118,Belize,0.700,0.0023
119,Venezuela,0.699,0.0068000000000000005
120,Morocco,0.698,0.0121
122,Nauru,0.696,0.0184
123,Gabon,0.693,0.0046
124,Suriname,0.690,0.0007000000000000001
125,Bhutan,0.681,0.0132
126,Tajikistan,0.679,0.0060999999999999995
127,El Salvador,0.674,0.0021
128,Iraq,0.673,0.005699999999999999
129,Bangladesh,0.670,0.0154
130,Nicaragua,0.669,0.0076
131,Cape Verde,0.661,0.0015
132,Tuvalu,0.653,0.0039000000000000003
133,Equatorial Guinea,0.650,0.0054
134,India,0.644,0.009899999999999999
135,Micronesia,0.634,0.0013
136,Guatemala,0.629,0.0021
137,Kiribati,0.628,0.0060999999999999995
138,Honduras,0.624,0.0038
139,Laos,0.620,0.009000000000000001
140,Vanuatu,0.614,0.005
141,São Tomé and Príncipe,0.613,0.0086
142,Eswatini,0.610,0.017
144,Myanmar,0.608,0.0154
145,Ghana,0.602,0.0044
146,Nepal,0.601,0.0085
148,Cambodia,0.600,0.0085
149,Congo,0.593,0.0017000000000000001
150,Angola,0.591,0.011399999999999999
151,Cameroon,0.587,0.011000000000000001
152,Comoros,0.586,0.009399999999999999
153,Zambia,0.569,0.0063
154,Papua New Guinea,0.568,0.011200000000000002
155,Timor-Leste,0.566,0.0101
156,Solomon Islands,0.562,0.0013
157,Syria,0.557,0.014199999999999999
158,Haiti,0.552,0.0174
159,Uganda,0.550,0.008
161,Rwanda,0.548,0.0102
163,Togo,0.547,0.0129
164,Pakistan,0.540,0.0070999999999999995
166,Ivory Coast,0.534,0.010700000000000001
167,Tanzania,0.532,0.0064
168,Lesotho,0.521,0.0086
169,Senegal,0.517,0.008
170,Sudan,0.516,0.0045000000000000005
171,Djibouti,0.515,0.0167
172,Malawi,0.508,0.008100000000000001
173,Benin,0.504,0.0039000000000000003
174,Gambia,0.495,0.008199999999999999
175,Eritrea,0.493,0.0062
176,Ethiopia,0.492,0.0155
177,Liberia,0.487,0.0048
179,Guinea-Bissau,0.483,0.0076
180,DR Congo,0.481,0.0106
181,Guinea,0.471,0.0106
182,Afghanistan,0.462,0.0024
183,Mozambique,0.461,0.0104
184,Sierra Leone,0.458,0.008
185,Burkina Faso,0.438,0.0137
186,Yemen,0.424,0.013000000000000001
187,Burundi,0.420,0.0032
188,Mali,0.410,0.0008
189,Niger,0.394,0.0134
191,Central African Republic,0.387,0.0067
192,South Sudan,0.381,0.0053
193,Somalia,0.380,0.0
