Country,Year,Disposable_Income
DEU,2004,36965.0
DEU,2005,37285.0
DEU,2006,37745.0
DEU,2007,37893.0
DEU,2008,38311.0
DEU,2009,38322.0
DEU,2010,38738.0
DEU,2011,39372.0
DEU,2012,39637.0
DEU,2013,39653.0
DEU,2014,40156.0
DEU,2015,40776.0
DEU,2016,41716.0
DEU,2017,42241.0
DEU,2018,43014.0
DEU,2019,43338.0
DEU,2020,43858.0
DEU,2021,44059.0
DEU,2022,43758.0
JPN,2004,27415.0
JPN,2005,27906.0
JPN,2006,28295.0
JPN,2007,28617.0
JPN,2008,28334.0
JPN,2009,28541.0
JPN,2010,28957.0
JPN,2011,29099.0
JPN,2012,29515.0
JPN,2013,29711.0
JPN,2014,29337.0
JPN,2015,29698.0
JPN,2016,30163.0
JPN,2017,30420.0
JPN,2018,30660.0
JPN,2019,31124.0
JPN,2020,32366.0
JPN,2021,31768.0
JPN,2022,31709.0
BEL,2004,36928.0
BEL,2005,37066.0
BEL,2006,37661.0
BEL,2007,38276.0
BEL,2008,38827.0
BEL,2009,38906.0
BEL,2010,38334.0
BEL,2011,37957.0
BEL,2012,38043.0
BEL,2013,38001.0
BEL,2014,38084.0
BEL,2015,38164.0
BEL,2016,38573.0
BEL,2017,39067.0
BEL,2018,39327.0
BEL,2019,40129.0
BEL,2020,40110.0
BEL,2021,41289.0
BEL,2022,40770.0
POL,2004,16227.0
POL,2005,16419.0
POL,2006,17237.0
POL,2007,18017.0
POL,2008,18787.0
POL,2009,19694.0
POL,2010,20525.0
POL,2011,20568.0
POL,2012,20792.0
POL,2013,21014.0
POL,2014,22149.0
POL,2015,22808.0
POL,2016,24067.0
POL,2017,24918.0
POL,2018,25932.0
POL,2019,27198.0
POL,2020,28336.0
POL,2021,28274.0
POL,2022,28588.0
LVA,2004,13201.0
LVA,2005,14727.0
LVA,2006,16718.0
LVA,2007,18189.0
LVA,2008,18912.0
LVA,2009,16783.0
LVA,2010,16304.0
LVA,2011,15775.0
LVA,2012,16568.0
LVA,2013,17172.0
LVA,2014,17953.0
LVA,2015,19172.0
LVA,2016,20183.0
LVA,2017,21136.0
LVA,2018,22207.0
LVA,2019,22657.0
LVA,2020,23159.0
LVA,2021,24397.0
LVA,2022,23781.0
FIN,2004,32147.0
FIN,2005,32512.0
FIN,2006,33057.0
FIN,2007,33981.0
FIN,2008,34602.0
FIN,2009,34718.0
FIN,2010,35396.0
FIN,2011,35495.0
FIN,2012,35317.0
FIN,2013,35163.0
FIN,2014,34861.0
FIN,2015,35139.0
FIN,2016,35698.0
FIN,2017,35966.0
FIN,2018,36567.0
FIN,2019,37295.0
FIN,2020,37366.0
FIN,2021,37939.0
FIN,2022,37250.0
MEX,2004,14914.0
MEX,2005,14912.0
MEX,2006,15740.0
MEX,2007,15624.0
MEX,2008,15483.0
MEX,2009,15281.0
MEX,2010,15409.0
MEX,2011,16356.0
MEX,2012,16449.0
MEX,2013,16672.0
MEX,2014,16879.0
MEX,2015,17725.0
MEX,2016,17692.0
MEX,2017,17555.0
MEX,2018,17509.0
MEX,2019,17808.0
MEX,2020,16454.0
MEX,2021,17490.0
MEX,2022,17164.0
NLD,2004,34697.0
NLD,2005,34645.0
NLD,2006,36004.0
NLD,2007,36688.0
NLD,2008,37155.0
NLD,2009,37731.0
NLD,2010,37685.0
NLD,2011,37777.0
NLD,2012,37468.0
NLD,2013,37010.0
NLD,2014,37388.0
NLD,2015,37746.0
NLD,2016,38286.0
NLD,2017,38454.0
NLD,2018,39175.0
NLD,2019,39940.0
NLD,2020,40393.0
NLD,2021,41497.0
NLD,2022,41860.0
FRA,2004,35569.0
FRA,2005,35736.0
FRA,2006,36381.0
FRA,2007,37213.0
FRA,2008,37203.0
FRA,2009,37685.0
FRA,2010,38164.0
FRA,2011,38109.0
FRA,2012,37952.0
FRA,2013,37534.0
FRA,2014,37862.0
FRA,2015,38083.0
FRA,2016,38583.0
FRA,2017,39052.0
FRA,2018,39313.0
FRA,2019,39923.0
FRA,2020,39218.0
FRA,2021,40583.0
FRA,2022,40781.0
CHE,2004,38387.0
CHE,2005,39165.0
CHE,2006,40203.0
CHE,2007,41371.0
