,Country,Year,EMPLOY_RATE
0,GRC,2004,66.5821550429292
1,GRC,2005,67.4714431723028
2,GRC,2006,68.5434613278653
3,GRC,2007,68.672415579898
4,GRC,2008,69.1217802521466
5,GRC,2009,68.348
6,GRC,2010,66.605
7,GRC,2011,62.466
8,GRC,2012,57.892
9,GRC,2013,55.643
10,GRC,2014,56.045
11,GRC,2015,57.644
12,GRC,2016,59.101
13,GRC,2017,60.553
14,GRC,2018,62.288
15,GRC,2019,64.101
16,GRC,2020,64.043
17,GRC,2021,65.389
18,GRC,2022,69.07
19,GRC,2023,70.04
20,NOR,2004,79.487392407265
21,NOR,2005,79.4074976205793
22,NOR,2006,80.6348293495673
23,NOR,2007,81.9901978709741
24,NOR,2008,82.7898204746281
25,NOR,2009,82.063
26,NOR,2010,81.057
27,NOR,2011,81.265
28,NOR,2012,81.547
29,NOR,2013,81.204
30,NOR,2014,81.318
31,NOR,2015,80.662
32,NOR,2016,80.438
33,NOR,2017,80.103
34,NOR,2018,80.813
35,NOR,2019,81.145
36,NOR,2020,80.449
37,NOR,2021,81.481
38,NOR,2022,82.179
39,NOR,2023,81.616
40,CAN,2004,76.0416483042295
41,CAN,2005,76.0352173208512
42,CAN,2006,76.1554325899045
43,CAN,2007,76.6305377014848
44,CAN,2008,76.6303031637348
45,CAN,2009,75.122
46,CAN,2010,75.252
47,CAN,2011,75.657
48,CAN,2012,76.211
49,CAN,2013,76.483
50,CAN,2014,76.134
51,CAN,2015,76.284
52,CAN,2016,76.281
53,CAN,2017,77.067
54,CAN,2018,77.685
55,CAN,2019,78.199
56,CAN,2020,74.67
57,CAN,2021,77.463
58,CAN,2022,79.328
59,CAN,2023,79.816
60,SWE,2004,79.6529175050301
61,SWE,2005,80.3212935302596
62,SWE,2006,80.9212166542009
63,SWE,2007,82.0200513712817
64,SWE,2008,82.3816213536071
65,SWE,2009,80.866
66,SWE,2010,80.719
67,SWE,2011,81.971
68,SWE,2012,82.314
69,SWE,2013,82.626
70,SWE,2014,82.769
71,SWE,2015,83.11
72,SWE,2016,83.591
73,SWE,2017,84.133
74,SWE,2018,84.686
75,SWE,2019,84.46
76,SWE,2020,83.326
77,SWE,2021,82.641
78,SWE,2022,84.12
79,SWE,2023,84.661
80,MEX,2004,66.6165679557373
81,MEX,2005,66.6520005750997
82,MEX,2006,67.6457646002611
83,MEX,2007,67.7072218168004
84,MEX,2008,67.4871137739836
85,MEX,2009,66.972
86,MEX,2010,66.722
87,MEX,2011,67.199
88,MEX,2012,68.102
89,MEX,2013,68.157
90,MEX,2014,67.673
91,MEX,2015,68.13
