,Country,Year,HOUSE_OVERCROWD,HOUSE_COST_BURDEN,HOUSE_SANITARY_X
0,AUS,2010,,17.9194390773773,
1,AUS,2012,,19.3341284990311,
2,AUS,2013,,19.1403672099113,
3,AUS,2014,,16.2584230303764,
4,AUS,2015,,17.9391250014305,
5,AUS,2016,,18.8453987240791,
6,AUS,2017,,19.8271304368973,
7,AUS,2018,,20.0809061527252,
8,AUS,2019,,15.6080901622772,
9,AUS,2020,,14.3957480788231,
10,AUS,2021,,13.8304620981216,
11,AUT,2010,10.2343186736107,11.2188898026943,5.477112904
12,AUT,2011,10.712655633688,8.30987989902496,4.103295133
13,AUT,2012,11.59403398633,12.3705454170704,3.384494036
14,AUT,2013,11.9282573461533,12.9859775304794,2.131753229
15,AUT,2014,12.6881659030914,11.5292139351368,3.738199174
16,AUT,2015,11.3668158650398,10.6463357806206,3.969764709
17,AUT,2016,11.3846279680729,12.5114426016808,3.907601163
18,AUT,2017,12.2610963881016,11.0916763544083,2.132074162
19,AUT,2018,10.8559958636761,11.706018447876,3.968447819
20,AUT,2019,12.3769402503967,12.3502723872662,1.75169725
21,AUT,2020,10.6852144002914,9.84620302915573,2.936750092
22,AUT,2021,10.7429914176464,11.5269094705582,
23,AUT,2022,11.6731904447079,12.4123372137547,
24,BEL,2010,3.69981303811073,,1.902901009
25,BEL,2011,1.94322224706411,,6.160074845
26,BEL,2012,1.53218377381563,16.3672477006912,4.455471039
27,BEL,2013,1.6174390912056,,6.296274811
28,BEL,2014,1.83799378573895,19.8140799999237,6.776918471
29,BEL,2015,1.17988418787718,19.2359536886215,6.921011209
30,BEL,2016,2.63992063701153,18.9997673034668,5.366028845
31,BEL,2017,3.5044826567173,18.5697466135025,3.58542949
32,BEL,2018,4.54625263810158,17.3370644450188,2.589649707
33,BEL,2019,4.44009639322758,14.8558184504509,1.524663996
34,BEL,2020,4.39725555479527,14.5308867096901,2.087702043
35,BEL,2021,4.17044274508953,13.9185503125191,
36,BEL,2022,4.037219658494,15.4658287763596,
37,CAN,2010,,22.8163972496986,
38,CAN,2011,,22.3035469651222,
39,CAN,2012,,22.8814452886581,
40,CAN,2013,,20.8084940910339,
41,CAN,2014,,18.9830467104912,
42,CAN,2015,,21.467213332653,
43,CAN,2016,,20.3098103404045,
44,CAN,2017,,21.3866025209427,
45,CAN,2018,,20.2539816498756,
46,CAN,2019,,19.7754099965096,
47,CHE,2010,5.32211698591709,23.5115587711334,0.481778337
48,CHE,2011,5.02718575298786,25.1749694347382,0.397064164
49,CHE,2012,4.63976748287678,15.111081302166,0.1643989
50,CHE,2013,5.12208864092827,12.1888667345047,0.0
51,CHE,2014,5.27784042060375,13.3602097630501,0.373156671
52,CHE,2015,5.41145280003548,15.2876943349838,0.312938937
53,CHE,2016,5.58588206768036,15.4106184840202,0.0
54,CHE,2018,5.35096377134323,15.7243475317955,0.608085422
55,CHE,2019,5.05444034934044,18.9871937036514,0.117180985
56,CHE,2020,5.27943037450314,16.7261317372322,0.0
57,CHE,2021,4.96686808764935,19.6808859705925,
58,CHL,2011,9.82161909341812,19.1212132573128,8.773606271
59,CHL,2013,9.25341174006462,20.8587050437927,8.354511857
60,CHL,2015,,27.7767360210419,6.101391092
61,CHL,2017,,36.1220508813858,5.526625365
62,CHL,2020,,,2.676527202
63,CHL,2022,,46.2275356054306,
64,COL,2010,39.4229382276535,,
65,COL,2011,38.0851566791534,,
66,COL,2012,39.4582957029343,41.2768661975861,1.938472129
67,COL,2013,37.0496332645416,42.3374325037003,1.746927202
68,COL,2014,37.3238563537598,42.9216742515564,1.81140732
69,COL,2015,36.3473892211914,43.1323558092117,1.595493406
70,COL,2016,35.0172787904739,45.3489869832993,1.438813563
71,COL,2017,34.1289162635803,48.4338611364365,1.132660359
72,COL,2018,34.4240188598633,50.6262123584747,1.129211113
73,COL,2019,33.8742107152939,46.6543823480606,1.501880214
74,COL,2020,34.6133768558502,44.2669540643692,1.044890378
75,COL,2021,34.2697471380234,60.275137424469,
76,COL,2022,32.2158187627792,49.4648575782776,
77,CRI,2010,22.1577078104019,,7.150324434
78,CRI,2011,11.2737029790878,18.9171582460403,6.993705779
79,CRI,2012,10.4136042296886,20.3136891126633,5.309472233
80,CRI,2013,10.2555304765701,16.1688044667244,5.428801849
81,CRI,2014,9.95911732316017,18.9640983939171,4.589889571
82,CRI,2015,9.72242653369904,19.5990800857544,5.398295447
83,CRI,2016,10.1728387176991,20.2235579490662,5.276498944
84,CRI,2017,9.19895321130753,24.6582627296448,4.123020917
85,CRI,2018,9.505345672369,25.5818992853165,3.718472645
86,CRI,2019,9.16837081313133,24.1994142532349,3.269819915
87,CRI,2020,8.47208648920059,33.5444808006287,2.922817133
88,CRI,2021,8.55992659926414,31.2512189149857,
89,CRI,2022,8.03955420851707,24.7450456023216,
90,CZE,2010,17.2096505761147,,5.574971065
91,CZE,2011,16.0967275500298,,3.691860288
92,CZE,2012,15.5068978667259,,4.920719564
93,CZE,2013,15.6666770577431,,3.405546769
94,CZE,2014,15.2037367224693,,3.057168797
95,CZE,2015,13.6962726712227,,2.687963843
96,CZE,2016,13.5622650384903,6.96889534592628,2.777782083
97,CZE,2017,12.1958412230015,5.13989366590977,1.494530123
98,CZE,2018,12.2350238263607,4.84586544334888,1.509004273
99,CZE,2019,11.6084307432175,5.14419786632061,1.627053134
100,CZE,2020,11.1464396119118,5.63438609242439,0.973451603
101,CZE,2021,11.488489061594,5.26909530162811,
102,CZE,2022,10.8547545969486,3.25857549905777,
103,DEU,2010,5.78787103295326,10.789941996336,1.408656873
104,DEU,2012,5.68085573613644,10.4627527296543,0.731318165
105,DEU,2014,6.14942125976086,9.04408022761345,1.061261538
106,DEU,2015,,12.9332214593887,0.0
107,DEU,2016,,10.5932123959064,0.0
108,DEU,2017,,9.99272838234901,0.0
109,DEU,2018,,10.196503251791,0.0
110,DEU,2019,,9.47194173932076,0.0
111,DEU,2020,9.20466855168343,10.3813782334328,
112,DEU,2021,8.8811993598938,10.7079803943634,
113,DEU,2022,8.98638069629669,9.22855213284492,
114,DNK,2010,7.14356750249863,23.1353655457497,0.0
115,DNK,2011,7.3298379778862,25.5595564842224,4.036419839
116,DNK,2012,7.09000900387764,24.8510733246803,3.639996797
117,DNK,2013,7.5532428920269,24.3015393614769,5.372510105
118,DNK,2014,7.42699354887009,24.9778643250465,3.008851595
119,DNK,2015,8.22071507573128,22.300198674202,4.719861597
120,DNK,2016,7.76178389787674,25.8172601461411,2.248037793
121,DNK,2017,7.75213614106178,25.114718079567,2.117746882
122,DNK,2018,8.78312662243843,23.631078004837,1.914312318
123,DNK,2019,9.10733416676521,25.2859055995941,1.896487735
124,DNK,2020,8.48964527249336,23.1437504291534,3.752687573
125,DNK,2021,8.52118134498596,24.6431425213814,
126,DNK,2022,8.41802433133125,23.0037823319435,
127,ESP,2010,3.10875661671162,30.759784579277,0.0
128,ESP,2011,3.72533947229385,32.5679928064346,0.0
129,ESP,2012,2.90251169353724,33.4845811128616,0.469182665
130,ESP,2013,3.07297129184008,28.8825273513794,0.745780207
131,ESP,2014,2.94702053070068,32.7262878417969,0.537415268
132,ESP,2015,2.8797160834074,30.1263749599457,0.178140681
133,ESP,2016,3.04321832954884,27.6480585336685,0.231587351
134,ESP,2017,2.84244529902935,29.2939692735672,0.341100432
135,ESP,2018,2.67251785844564,24.1138353943825,0.353958574
136,ESP,2019,3.01369410008192,24.4355618953705,0.600650581
137,ESP,2020,3.70220132172108,21.3363647460938,0.472371979
138,ESP,2021,3.43999452888966,26.2570351362228,
139,ESP,2022,3.79886887967587,24.1070747375488,
140,EST,2010,,19.0749928355217,26.34904385
141,EST,2011,9.08089503645897,30.9863239526749,20.18850446
142,EST,2012,9.29815694689751,27.746519446373,19.97002661
143,EST,2013,14.1817331314087,18.7030956149101,18.93268228
