Country,Date,Interest Rate
DK,2000-01,3.3
DK,2000-02,3.6
DK,2000-03,3.85
DK,2000-04,4.1
DK,2000-05,4.1
DK,2000-06,4.7
DK,2000-07,4.7
DK,2000-08,5.1
DK,2000-09,5.6
DK,2000-10,5.4
DK,2000-11,5.4
DK,2000-12,5.4
DK,2001-01,5.4
DK,2001-02,5.3
DK,2001-03,5.3
DK,2001-04,5.3
DK,2001-05,5.0
DK,2001-06,5.0
DK,2001-07,4.95
DK,2001-08,4.65
DK,2001-09,4.15
DK,2001-10,4.1
DK,2001-11,3.6
DK,2001-12,3.6
DK,2002-01,3.6
DK,2002-02,3.55
DK,2002-03,3.55
DK,2002-04,3.55
DK,2002-05,3.55
DK,2002-06,3.55
DK,2002-07,3.55
DK,2002-08,3.45
DK,2002-09,3.45
DK,2002-10,3.45
DK,2002-11,3.45
DK,2002-12,2.95
DK,2003-01,2.95
DK,2003-02,2.95
DK,2003-03,2.7
DK,2003-04,2.7
DK,2003-05,2.65
DK,2003-06,2.15
DK,2003-07,2.15
DK,2003-08,2.15
DK,2003-09,2.15
DK,2003-10,2.15
DK,2003-11,2.15
DK,2003-12,2.15
DK,2004-01,2.15
DK,2004-02,2.15
DK,2004-03,2.15
DK,2004-04,2.15
DK,2004-05,2.15
DK,2004-06,2.15
DK,2004-07,2.15
DK,2004-08,2.15
DK,2004-09,2.15
DK,2004-10,2.15
DK,2004-11,2.15
DK,2004-12,2.15
DK,2005-01,2.15
DK,2005-02,2.15
DK,2005-03,2.15
DK,2005-04,2.15
DK,2005-05,2.15
DK,2005-06,2.15
DK,2005-07,2.15
DK,2005-08,2.15
DK,2005-09,2.15
DK,2005-10,2.15
DK,2005-11,2.15
DK,2005-12,2.4
DK,2006-01,2.4
DK,2006-02,2.5
DK,2006-03,2.75
DK,2006-04,2.75
DK,2006-05,2.75
DK,2006-06,3.0
DK,2006-07,3.0
DK,2006-08,3.25
DK,2006-09,3.25
DK,2006-10,3.5
DK,2006-11,3.5
DK,2006-12,3.75
DK,2007-01,3.75
DK,2007-02,3.75
DK,2007-03,4.0
DK,2007-04,4.0
DK,2007-05,4.0
DK,2007-06,4.25
DK,2007-07,4.25
DK,2007-08,4.25
DK,2007-09,4.25
DK,2007-10,4.25
DK,2007-11,4.25
DK,2007-12,4.25
DK,2008-01,4.25
DK,2008-02,4.25
DK,2008-03,4.25
DK,2008-04,4.25
DK,2008-05,4.35
DK,2008-06,4.35
DK,2008-07,4.6
DK,2008-08,4.6
DK,2008-09,4.6
DK,2008-10,5.5
DK,2008-11,5.0
DK,2008-12,3.75
DK,2009-01,3.0
DK,2009-02,3.0
DK,2009-03,2.25
DK,2009-04,2.0
DK,2009-05,1.65
DK,2009-06,1.45
DK,2009-07,1.45
DK,2009-08,1.25
DK,2009-09,1.0
DK,2009-10,1.0
DK,2009-11,1.0
DK,2009-12,0.95
DK,2010-01,0.8
DK,2010-02,0.8
DK,2010-03,0.7
DK,2010-04,0.7
DK,2010-05,0.5
DK,2010-06,0.5
DK,2010-07,0.5
DK,2010-08,0.5
DK,2010-09,0.5
DK,2010-10,0.7
DK,2010-11,0.7
DK,2010-12,0.7
DK,2011-01,0.7
DK,2011-02,0.7
DK,2011-03,0.7
DK,2011-04,0.95
DK,2011-05,0.95
DK,2011-06,0.95
DK,2011-07,1.2
DK,2011-08,1.1
DK,2011-09,1.0
DK,2011-10,1.0
DK,2011-11,0.65
DK,2011-12,0.3
DK,2012-01,0.3
DK,2012-02,0.3
DK,2012-03,0.3
DK,2012-04,0.3
DK,2012-05,0.2
DK,2012-06,0.05
DK,2012-07,-0.2
DK,2012-08,-0.2
DK,2012-09,-0.2
DK,2012-10,-0.2
DK,2012-11,-0.2
DK,2012-12,-0.2
DK,2013-01,-0.1
DK,2013-02,-0.1
DK,2013-03,-0.1
DK,2013-04,-0.1
DK,2013-05,-0.1
DK,2013-06,-0.1
DK,2013-07,-0.1
DK,2013-08,-0.1
DK,2013-09,-0.1
DK,2013-10,-0.1
DK,2013-11,-0.1
DK,2013-12,-0.1
DK,2014-01,-0.1
DK,2014-02,-0.1
DK,2014-03,-0.1
DK,2014-04,0.05
DK,2014-05,0.05
DK,2014-06,0.05
DK,2014-07,0.05
DK,2014-08,0.05
DK,2014-09,-0.05
DK,2014-10,-0.05
DK,2014-11,-0.05
DK,2014-12,-0.05
DK,2015-01,-0.5
DK,2015-02,-0.75
DK,2015-03,-0.75
DK,2015-04,-0.75
DK,2015-05,-0.75
DK,2015-06,-0.75
DK,2015-07,-0.75
DK,2015-08,-0.75
DK,2015-09,-0.75
DK,2015-10,-0.75
DK,2015-11,-0.75
DK,2015-12,-0.75
DK,2016-01,-0.65
DK,2016-02,-0.65
DK,2016-03,-0.65
DK,2016-04,-0.65
DK,2016-05,-0.65
DK,2016-06,-0.65
DK,2016-07,-0.65
DK,2016-08,-0.65
DK,2016-09,-0.65
DK,2016-10,-0.65
DK,2016-11,-0.65
DK,2016-12,-0.65
DK,2017-01,-0.65
DK,2017-02,-0.65
DK,2017-03,-0.65
DK,2017-04,-0.65
DK,2017-05,-0.65
DK,2017-06,-0.65
DK,2017-07,-0.65
DK,2017-08,-0.65
DK,2017-09,-0.65
DK,2017-10,-0.65
DK,2017-11,-0.65
DK,2017-12,-0.65
DK,2018-01,-0.65
DK,2018-02,-0.65
DK,2018-03,-0.65
DK,2018-04,-0.65
DK,2018-05,-0.65
DK,2018-06,-0.65
DK,2018-07,-0.65
DK,2018-08,-0.65
DK,2018-09,-0.65
DK,2018-10,-0.65
DK,2018-11,-0.65
DK,2018-12,-0.65
DK,2019-01,-0.65
DK,2019-02,-0.65
DK,2019-03,-0.65
DK,2019-04,-0.65
DK,2019-05,-0.65
DK,2019-06,-0.65
DK,2019-07,-0.65
DK,2019-08,-0.65
DK,2019-09,-0.75
DK,2019-10,-0.75
DK,2019-11,-0.75
DK,2019-12,-0.75
DK,2020-01,-0.75
DK,2020-02,-0.75
DK,2020-03,-0.6
DK,2020-04,-0.6
DK,2020-05,-0.6
DK,2020-06,-0.6
DK,2020-07,-0.6
DK,2020-08,-0.6
DK,2020-09,-0.6
DK,2020-10,-0.6
DK,2020-11,-0.6
DK,2020-12,-0.6
DK,2021-01,-0.6
DK,2021-02,-0.6
DK,2021-03,-0.5
DK,2021-04,-0.5
DK,2021-05,-0.5
DK,2021-06,-0.5
DK,2021-07,-0.5
DK,2021-08,-0.5
DK,2021-09,-0.5
DK,2021-10,-0.6
DK,2021-11,-0.6
DK,2021-12,-0.6
DK,2022-01,-0.6
DK,2022-02,-0.6
DK,2022-03,-0.6
DK,2022-04,-0.6
DK,2022-05,-0.6
DK,2022-06,-0.6
DK,2022-07,-0.1
DK,2022-08,-0.1
DK,2022-09,0.65
DK,2022-10,1.25
DK,2022-11,1.25
DK,2022-12,1.75
DK,2023-01,1.75
DK,2023-02,2.1
DK,2023-03,2.6
DK,2023-04,2.6
DK,2023-05,2.85
DK,2023-06,3.1
DK,2023-07,3.35
DK,2023-08,3.35
DK,2023-09,3.6
DK,2023-10,3.6
DK,2023-11,3.6
DK,2023-12,3.6
DK,2024-01,3.6
DK,2024-02,3.6
DK,2024-03,3.6
DK,2024-04,3.6
DK,2024-05,3.6
DK,2024-06,3.35
DK,2024-07,3.35
DK,2024-08,3.35
DK,2024-09,3.1
DK,2024-10,2.85
GB,2000-01,5.75
GB,2000-02,6.0
GB,2000-03,6.0
GB,2000-04,6.0
GB,2000-05,6.0
GB,2000-06,6.0
GB,2000-07,6.0
GB,2000-08,6.0
GB,2000-09,6.0
GB,2000-10,6.0
GB,2000-11,6.0
GB,2000-12,6.0
GB,2001-01,6.0
GB,2001-02,5.75
GB,2001-03,5.75
GB,2001-04,5.5
GB,2001-05,5.25
GB,2001-06,5.25
GB,2001-07,5.25
GB,2001-08,5.0
GB,2001-09,4.75
GB,2001-10,4.5
GB,2001-11,4.0
GB,2001-12,4.0
GB,2002-01,4.0
GB,2002-02,4.0
GB,2002-03,4.0
GB,2002-04,4.0
GB,2002-05,4.0
GB,2002-06,4.0
GB,2002-07,4.0
GB,2002-08,4.0
GB,2002-09,4.0
GB,2002-10,4.0
GB,2002-11,4.0
GB,2002-12,4.0
GB,2003-01,4.0
