Country,Date,Total Asset
PH,2014-01,89.742
PH,2014-02,91.247
PH,2014-03,90.263
PH,2014-04,90.364
PH,2014-05,91.773
PH,2014-06,92.23
PH,2014-07,93.065
PH,2014-08,92.902
PH,2014-09,90.313
PH,2014-10,90.28
PH,2014-11,90.035
PH,2014-12,91.167
PH,2015-01,92.685
PH,2015-02,94.023
PH,2015-03,92.561
PH,2015-04,93.002
PH,2015-05,93.125
PH,2015-06,92.673
PH,2015-07,91.693
PH,2015-08,90.879
PH,2015-09,91.949
PH,2015-10,92.172
PH,2015-11,90.975
PH,2015-12,91.986
PH,2016-01,91.401
PH,2016-02,94.441
PH,2016-03,95.931
PH,2016-04,96.087
PH,2016-05,95.315
PH,2016-06,97.572
PH,2016-07,97.675
PH,2016-08,97.998
PH,2016-09,98.369
PH,2016-10,96.444
PH,2016-11,92.431
PH,2016-12,91.94
PH,2017-01,92.371
PH,2017-02,92.378
PH,2017-03,91.905
PH,2017-04,92.692
PH,2017-05,93.335
PH,2017-06,92.452
PH,2017-07,92.224
PH,2017-08,92.713
PH,2017-09,91.975
PH,2017-10,91.65
PH,2017-11,91.433
PH,2017-12,93.603
PH,2018-01,92.296
PH,2018-02,91.235
PH,2018-03,91.52
PH,2018-04,90.585
PH,2018-05,90.226
PH,2018-06,88.627
PH,2018-07,87.644
PH,2018-08,88.817
PH,2018-09,85.854
PH,2018-10,86.556
PH,2018-11,88.018
PH,2018-12,92.411
PH,2019-01,94.762
PH,2019-02,95.42
PH,2019-03,97.852
PH,2019-04,98.217
PH,2019-05,99.425
PH,2019-06,98.798
PH,2019-07,97.988
PH,2019-08,99.1
PH,2019-09,98.121
PH,2019-10,98.258
PH,2019-11,98.273
PH,2019-12,100.375
PH,2020-01,98.349
PH,2020-02,100.07
PH,2020-03,106.708
PH,2020-04,112.553
PH,2020-05,117.856
PH,2020-06,126.26
PH,2020-07,134.81
PH,2020-08,139.574
PH,2020-09,136.277
PH,2020-10,150.912
PH,2020-11,152.43
PH,2020-12,146.835
PH,2021-01,157.5
PH,2021-02,155.987
PH,2021-03,155.754
PH,2021-04,159.4
PH,2021-05,160.211
PH,2021-06,157.304
PH,2021-07,158.668
PH,2021-08,159.921
PH,2021-09,156.522
PH,2021-10,159.09
PH,2021-11,158.52
PH,2021-12,148.546
PH,2022-01,152.905
PH,2022-02,152.21
PH,2022-03,151.265
PH,2022-04,148.148
PH,2022-05,139.684
PH,2022-06,135.393
PH,2022-07,134.662
PH,2022-08,131.863
PH,2022-09,124.893
PH,2022-10,125.453
PH,2022-11,128.439
PH,2022-12,129.961
PH,2023-01,135.861
PH,2023-02,132.775
PH,2023-03,135.55
PH,2023-04,134.464
PH,2023-05,133.067
PH,2023-06,131.916
PH,2023-07,132.436
PH,2023-08,131.184
PH,2023-09,129.504
PH,2023-10,131.79
PH,2023-11,135.042
PH,2023-12,136.072
PH,2024-01,135.145
PH,2024-02,133.508
SE,2014-01,67.334
SE,2014-02,67.824
SE,2014-03,69.277
SE,2014-04,67.052
SE,2014-05,68.766
SE,2014-06,67.741
SE,2014-07,66.35
SE,2014-08,65.632
SE,2014-09,65.124
SE,2014-10,63.906
SE,2014-11,63.549
SE,2014-12,64.936
SE,2015-01,60.688
SE,2015-02,60.137
SE,2015-03,63.448
SE,2015-04,68.632
SE,2015-05,68.534
SE,2015-06,71.533
SE,2015-07,68.888
SE,2015-08,71.713
SE,2015-09,74.765
SE,2015-10,75.608
SE,2015-11,76.26
SE,2015-12,78.592
SE,2016-01,78.632
SE,2016-02,80.457
SE,2016-03,86.315
SE,2016-04,88.755
SE,2016-05,87.495
SE,2016-06,90.546
SE,2016-07,89.776
SE,2016-08,92.303
SE,2016-09,94.472
SE,2016-10,93.313
SE,2016-11,89.723
SE,2016-12,93.221
SE,2017-01,96.311
SE,2017-02,94.738
SE,2017-03,95.841
SE,2017-04,98.046
SE,2017-05,100.572
SE,2017-06,101.759
SE,2017-07,109.277
SE,2017-08,105.2
SE,2017-09,103.26
SE,2017-10,101.654
SE,2017-11,102.271
SE,2017-12,105.925
SE,2018-01,111.578
SE,2018-02,105.975
SE,2018-03,107.115
SE,2018-04,103.239
SE,2018-05,102.064
SE,2018-06,104.223
SE,2018-07,106.825
SE,2018-08,102.926
SE,2018-09,104.587
SE,2018-10,101.867
SE,2018-11,103.198
SE,2018-12,104.334
SE,2019-01,104.45
SE,2019-02,105.609
SE,2019-03,101.651
SE,2019-04,98.563
SE,2019-05,96.196
SE,2019-06,101.024
SE,2019-07,95.017
SE,2019-08,92.877
SE,2019-09,96.854
SE,2019-10,95.857
SE,2019-11,97.317
SE,2019-12,96.778
SE,2020-01,92.925
SE,2020-02,92.453
SE,2020-03,108.267
SE,2020-04,120.302
SE,2020-05,130.383
SE,2020-06,130.114
SE,2020-07,142.555
SE,2020-08,147.406
SE,2020-09,142.969
SE,2020-10,153.072
SE,2020-11,161.886
SE,2020-12,158.242
SE,2021-01,158.791
SE,2021-02,161.194
SE,2021-03,151.214
SE,2021-04,156.93
SE,2021-05,162.321
SE,2021-06,161.244
SE,2021-07,163.376
SE,2021-08,171.655
SE,2021-09,170.629
SE,2021-10,177.962
SE,2021-11,171.804
SE,2021-12,172.84
SE,2022-01,168.556
SE,2022-02,167.836
SE,2022-03,166.204
SE,2022-04,159.388
SE,2022-05,160.714
SE,2022-06,144.316
SE,2022-07,147.211
SE,2022-08,142.159
SE,2022-09,135.711
SE,2022-10,136.976
SE,2022-11,144.379
SE,2022-12,152.071
SE,2023-01,151.683
SE,2023-02,147.834
SE,2023-03,148.239
SE,2023-04,137.282
SE,2023-05,129.314
SE,2023-06,128.14
SE,2023-07,133.211
SE,2023-08,128.532
SE,2023-09,124.556
SE,2023-10,121.442
SE,2023-11,121.822
SE,2023-12,125.049
SE,2024-01,120.955
SE,2024-02,120.744
SE,2024-03,117.669
SE,2024-04,114.414
SE,2024-05,117.676
SE,2024-06,115.752
NL,2014-01,232.638
NL,2014-02,235.499
NL,2014-03,230.179
NL,2014-04,214.564
NL,2014-05,207.091
NL,2014-06,178.212
NL,2014-07,162.975
NL,2014-08,164.984
NL,2014-09,153.841
NL,2014-10,152.9
NL,2014-11,160.557
NL,2014-12,201.773
NL,2015-01,168.71
NL,2015-02,176.857
NL,2015-03,168.353
NL,2015-04,196.176
NL,2015-05,222.602
NL,2015-06,224.249
NL,2015-07,233.714
NL,2015-08,256.681
NL,2015-09,258.647
NL,2015-10,245.221
NL,2015-11,250.4
NL,2015-12,265.095
NL,2016-01,276.837
NL,2016-02,280.498
NL,2016-03,293.262
NL,2016-04,302.7
NL,2016-05,316.091
NL,2016-06,316.097
NL,2016-07,292.956
NL,2016-08,340.458
NL,2016-09,326.924
NL,2016-10,338.66
NL,2016-11,332.585
NL,2016-12,306.093
NL,2017-01,337.135
NL,2017-02,358.043
NL,2017-03,353.842
NL,2017-04,359.663
NL,2017-05,380.462
NL,2017-06,352.544
NL,2017-07,400.801
NL,2017-08,413.829
NL,2017-09,378.766
NL,2017-10,422.661
NL,2017-11,417.701
NL,2017-12,372.272
NL,2018-01,419.142
NL,2018-02,450.652
NL,2018-03,438.449
NL,2018-04,451.114
NL,2018-05,432.906
NL,2018-06,393.874
NL,2018-07,463.673
NL,2018-08,438.792
NL,2018-09,407.223
NL,2018-10,394.053
NL,2018-11,400.729
NL,2018-12,421.0
NL,2019-01,414.107
NL,2019-02,394.795
NL,2019-03,375.449
NL,2019-04,381.542
NL,2019-05,359.657
NL,2019-06,327.544
NL,2019-07,341.073
NL,2019-08,341.83
NL,2019-09,359.573
NL,2019-10,359.796
NL,2019-11,320.045
NL,2019-12,354.259
NL,2020-01,335.757
NL,2020-02,326.544
NL,2020-03,381.286
NL,2020-04,395.901
NL,2020-05,408.557
NL,2020-06,479.661
NL,2020-07,503.431
NL,2020-08,516.88
NL,2020-09,555.94
NL,2020-10,537.871
NL,2020-11,558.54
NL,2020-12,554.475
NL,2021-01,546.968
NL,2021-02,552.372
NL,2021-03,543.446
NL,2021-04,572.458
NL,2021-05,610.985
NL,2021-06,602.255
NL,2021-07,559.632
NL,2021-08,604.471
NL,2021-09,598.979
NL,2021-10,578.811
NL,2021-11,593.761
NL,2021-12,577.276
NL,2022-01,594.522
NL,2022-02,630.246
NL,2022-03,650.441
NL,2022-04,616.157
NL,2022-05,660.958
NL,2022-06,601.076
NL,2022-07,587.537
NL,2022-08,612.679
NL,2022-09,574.511
NL,2022-10,632.042
NL,2022-11,652.731
NL,2022-12,520.094
NL,2023-01,606.267
NL,2023-02,598.06
NL,2023-03,585.398
NL,2023-04,584.089
NL,2023-05,612.363
NL,2023-06,526.503
NL,2023-07,557.923
NL,2023-08,548.664
NL,2023-09,534.188
NL,2023-10,534.174
NL,2023-11,524.807
NL,2023-12,441.63
NL,2024-01,494.345
NL,2024-02,493.918
NL,2024-03,462.533
NL,2024-04,461.322
NL,2024-05,447.233
NL,2024-06,418.296
LU,2014-01,156.838
LU,2014-02,157.214
LU,2014-03,158.587
LU,2014-04,165.786
LU,2014-05,159.772
LU,2014-06,156.99
LU,2014-07,150.871
LU,2014-08,144.759
LU,2014-09,144.668
LU,2014-10,152.416
LU,2014-11,145.119
LU,2014-12,142.169
LU,2015-01,132.638
LU,2015-02,128.099
LU,2015-03,129.323
LU,2015-04,144.698
LU,2015-05,137.474
LU,2015-06,138.984
LU,2015-07,140.192
LU,2015-08,143.198
LU,2015-09,157.272
LU,2015-10,164.842
LU,2015-11,159.495
LU,2015-12,173.058
LU,2016-01,171.093
