Country,Date,Total Asset
NZ,2000-01,4.8
NZ,2000-02,4.21
NZ,2000-03,4.94
NZ,2000-04,5.05
NZ,2000-05,5.12
NZ,2000-06,4.72
NZ,2000-07,4.7
NZ,2000-08,4.41
NZ,2000-09,4.11
NZ,2000-10,4.31
NZ,2000-11,5.01
NZ,2000-12,4.93
NZ,2001-01,4.94
NZ,2001-02,4.16
NZ,2001-03,3.8
NZ,2001-04,4.37
NZ,2001-05,4.47
NZ,2001-06,4.49
NZ,2001-07,4.52
NZ,2001-08,5.33
NZ,2001-09,4.56
NZ,2001-10,4.85
NZ,2001-11,4.99
NZ,2001-12,4.51
NZ,2002-01,4.63
NZ,2002-02,4.82
NZ,2002-03,4.52
NZ,2002-04,5.19
NZ,2002-05,5.4
NZ,2002-06,5.6
NZ,2002-07,5.35
NZ,2002-08,5.43
NZ,2002-09,5.06
NZ,2002-10,6.26
NZ,2002-11,7.32
NZ,2002-12,6.67
NZ,2003-01,7.61
NZ,2003-02,7.65
NZ,2003-03,7.91
NZ,2003-04,7.34
NZ,2003-05,6.86
NZ,2003-06,6.74
NZ,2003-07,7.03
NZ,2003-08,7.45
NZ,2003-09,7.4
NZ,2003-10,7.91
NZ,2003-11,8.61
NZ,2003-12,8.16
NZ,2004-01,8.54
NZ,2004-02,8.68
NZ,2004-03,9.19
NZ,2004-04,6.99
NZ,2004-05,6.39
NZ,2004-06,6.14
NZ,2004-07,7.48
NZ,2004-08,7.83
NZ,2004-09,8.12
NZ,2004-10,7.74
NZ,2004-11,8.38
NZ,2004-12,8.46
NZ,2005-01,9.7
NZ,2005-02,8.86
NZ,2005-03,8.93
NZ,2005-04,9.62
NZ,2005-05,9.58
NZ,2005-06,9.02
NZ,2005-07,8.79
NZ,2005-08,9.18
NZ,2005-09,8.47
NZ,2005-10,9.43
NZ,2005-11,10.5
NZ,2005-12,9.4
NZ,2006-01,11.1
NZ,2006-02,10.47
NZ,2006-03,10.16
NZ,2006-04,10.92
NZ,2006-05,11.57
NZ,2006-06,10.27
NZ,2006-07,11.15
NZ,2006-08,12.09
NZ,2006-09,12.59
NZ,2006-10,15.06
NZ,2006-11,14.26
NZ,2006-12,14.59
NZ,2007-01,13.51
NZ,2007-02,14.43
NZ,2007-03,14.88
NZ,2007-04,15.65
NZ,2007-05,15.84
NZ,2007-06,16.17
NZ,2007-07,17.05
NZ,2007-08,16.14
NZ,2007-09,16.55
NZ,2007-10,16.89
NZ,2007-11,16.97
NZ,2007-12,17.75
NZ,2008-01,17.44
NZ,2008-02,18.22
NZ,2008-03,19.8
NZ,2008-04,19.13
NZ,2008-05,19.75
NZ,2008-06,19.23
NZ,2008-07,15.63
NZ,2008-08,14.51
NZ,2008-09,16.31
NZ,2008-10,13.54
NZ,2008-11,14.48
NZ,2008-12,14.85
NZ,2009-01,17.13
NZ,2009-02,16.86
NZ,2009-03,16.91
NZ,2009-04,16.42
NZ,2009-05,19.25
NZ,2009-06,20.18
NZ,2009-07,17.62
NZ,2009-08,18.23
NZ,2009-09,20.64
NZ,2009-10,20.39
NZ,2009-11,19.22
NZ,2009-12,17.42
NZ,2010-01,18.11
NZ,2010-02,16.98
NZ,2010-03,16.83
NZ,2010-04,16.45
NZ,2010-05,17.86
NZ,2010-06,18.21
NZ,2010-07,16.51
NZ,2010-08,17.72
NZ,2010-09,18.15
NZ,2010-10,16.97
NZ,2010-11,17.81
NZ,2010-12,17.77
NZ,2011-01,19.82
NZ,2011-02,19.14
NZ,2011-03,20.06
NZ,2011-04,23.27
NZ,2011-05,25.65
NZ,2011-06,25.72
NZ,2011-07,24.39
NZ,2011-08,25.26
NZ,2011-09,24.43
NZ,2011-10,26.65
NZ,2011-11,20.73
NZ,2011-12,17.59
NZ,2012-01,20.58
NZ,2012-02,22.83
NZ,2012-03,20.71
NZ,2012-04,20.4
NZ,2012-05,21.49
NZ,2012-06,21.38
NZ,2012-07,19.54
NZ,2012-08,20.8
NZ,2012-09,21.24
NZ,2012-10,22.73
NZ,2012-11,21.94
NZ,2012-12,20.82
NZ,2013-01,24.57
NZ,2013-02,25.75
NZ,2013-03,23.67
NZ,2013-04,17.76
NZ,2013-05,19.27
NZ,2013-06,18.76
NZ,2013-07,16.18
NZ,2013-08,16.66
NZ,2013-09,17.48
NZ,2013-10,20.43
NZ,2013-11,20.13
NZ,2013-12,18.33
NZ,2014-01,20.03
NZ,2014-02,19.78
NZ,2014-03,19.6
NZ,2014-04,17.79
NZ,2014-05,19.08
NZ,2014-06,19.63
NZ,2014-07,18.48
NZ,2014-08,19.89
NZ,2014-09,18.2
NZ,2014-10,19.19
NZ,2014-11,19.74
NZ,2014-12,17.57
NZ,2015-01,20.84
NZ,2015-02,20.71
NZ,2015-03,21.38
NZ,2015-04,18.17
NZ,2015-05,20.15
NZ,2015-06,19.68
NZ,2015-07,18.3
NZ,2015-08,19.13
NZ,2015-09,16.45
NZ,2015-10,17.31
NZ,2015-11,16.68
NZ,2015-12,16.11
NZ,2016-01,17.92
NZ,2016-02,17.19
NZ,2016-03,17.58
NZ,2016-04,17.48
NZ,2016-05,19.52
NZ,2016-06,18.47
NZ,2016-07,16.68
NZ,2016-08,19.77
NZ,2016-09,18.09
NZ,2016-10,18.11
NZ,2016-11,17.41
NZ,2016-12,18.37
NZ,2017-01,19.17
NZ,2017-02,18.81
NZ,2017-03,18.19
NZ,2017-04,17.51
NZ,2017-05,19.04
NZ,2017-06,19.63
NZ,2017-07,18.35
NZ,2017-08,19.68
NZ,2017-09,19.49
NZ,2017-10,21.5
NZ,2017-11,20.59
NZ,2017-12,20.48
NZ,2018-01,22.38
NZ,2018-02,21.55
NZ,2018-03,20.99
NZ,2018-04,19.27
NZ,2018-05,21.33
NZ,2018-06,21.77
NZ,2018-07,19.48
NZ,2018-08,19.64
NZ,2018-09,19.08
NZ,2018-10,18.87
NZ,2018-11,19.87
NZ,2018-12,19.95
NZ,2019-01,23.58
NZ,2019-02,24.67
NZ,2019-03,17.82
NZ,2019-04,17.14
NZ,2019-05,18.0
NZ,2019-06,17.91
NZ,2019-07,16.45
NZ,2019-08,17.56
NZ,2019-09,16.9
NZ,2019-10,16.19
NZ,2019-11,16.18
NZ,2019-12,16.59
NZ,2020-01,19.55
NZ,2020-02,19.51
NZ,2020-03,25.18
NZ,2020-04,28.57
NZ,2020-05,31.87
NZ,2020-06,35.94
NZ,2020-07,38.93
NZ,2020-08,39.73
NZ,2020-09,41.1
NZ,2020-10,44.35
NZ,2020-11,49.04
NZ,2020-12,52.57
NZ,2021-01,53.85
NZ,2021-02,57.17
NZ,2021-03,58.01
NZ,2021-04,61.59
NZ,2021-05,59.1
NZ,2021-06,58.83
NZ,2021-07,59.14
NZ,2021-08,62.71
NZ,2021-09,60.9
NZ,2021-10,63.68
NZ,2021-11,59.92
NZ,2021-12,60.92
NZ,2022-01,59.59
NZ,2022-02,60.9
NZ,2022-03,63.4
NZ,2022-04,58.51
NZ,2022-05,61.0
NZ,2022-06,58.39
NZ,2022-07,59.68
NZ,2022-08,59.02
NZ,2022-09,56.26
NZ,2022-10,56.76
NZ,2022-11,64.12
NZ,2022-12,64.11
NZ,2023-01,64.41
NZ,2023-02,64.38
NZ,2023-03,64.13
NZ,2023-04,57.83
NZ,2023-05,56.72
NZ,2023-06,54.07
NZ,2023-07,59.18
NZ,2023-08,57.77
NZ,2023-09,58.92
NZ,2023-10,57.77
NZ,2023-11,60.17
NZ,2023-12,57.85
NZ,2024-01,59.1
NZ,2024-02,58.61
NZ,2024-03,56.67
NZ,2024-04,56.95
NZ,2024-05,52.0
NZ,2024-06,51.34
NZ,2024-07,53.0
NZ,2024-08,51.75
NZ,2024-09,52.76
NZ,2024-10,53.86
MX,2000-01,60.55
MX,2000-02,60.33
MX,2000-03,58.88
MX,2000-04,60.78
MX,2000-05,60.57
MX,2000-06,58.8
MX,2000-07,60.09
MX,2000-08,58.71
MX,2000-09,59.8
MX,2000-10,61.72
MX,2000-11,62.3
MX,2000-12,64.73
MX,2001-01,64.68
MX,2001-02,64.46
MX,2001-03,64.91
MX,2001-04,67.55
