Country,Date,Interest Rate
US,2000-01,5.5
US,2000-02,5.75
US,2000-03,6.0
US,2000-04,6.0
US,2000-05,6.5
US,2000-06,6.5
US,2000-07,6.5
US,2000-08,6.5
US,2000-09,6.5
US,2000-10,6.5
US,2000-11,6.5
US,2000-12,6.5
US,2001-01,5.5
US,2001-02,5.5
US,2001-03,5.0
US,2001-04,4.5
US,2001-05,4.0
US,2001-06,3.75
US,2001-07,3.75
US,2001-08,3.5
US,2001-09,3.0
US,2001-10,2.5
US,2001-11,2.0
US,2001-12,1.75
US,2002-01,1.75
US,2002-02,1.75
US,2002-03,1.75
US,2002-04,1.75
US,2002-05,1.75
US,2002-06,1.75
US,2002-07,1.75
US,2002-08,1.75
US,2002-09,1.75
US,2002-10,1.75
US,2002-11,1.25
US,2002-12,1.25
US,2003-01,1.25
US,2003-02,1.25
US,2003-03,1.25
US,2003-04,1.25
US,2003-05,1.25
US,2003-06,1.0
US,2003-07,1.0
US,2003-08,1.0
US,2003-09,1.0
US,2003-10,1.0
US,2003-11,1.0
US,2003-12,1.0
US,2004-01,1.0
US,2004-02,1.0
US,2004-03,1.0
US,2004-04,1.0
US,2004-05,1.0
US,2004-06,1.25
US,2004-07,1.25
US,2004-08,1.5
US,2004-09,1.75
US,2004-10,1.75
US,2004-11,2.0
US,2004-12,2.25
US,2005-01,2.25
US,2005-02,2.5
US,2005-03,2.75
US,2005-04,2.75
US,2005-05,3.0
US,2005-06,3.25
US,2005-07,3.25
US,2005-08,3.5
US,2005-09,3.75
US,2005-10,3.75
US,2005-11,4.0
US,2005-12,4.25
US,2006-01,4.5
US,2006-02,4.5
US,2006-03,4.75
US,2006-04,4.75
US,2006-05,5.0
US,2006-06,5.25
US,2006-07,5.25
US,2006-08,5.25
US,2006-09,5.25
US,2006-10,5.25
US,2006-11,5.25
US,2006-12,5.25
US,2007-01,5.25
US,2007-02,5.25
US,2007-03,5.25
US,2007-04,5.25
US,2007-05,5.25
US,2007-06,5.25
US,2007-07,5.25
US,2007-08,5.25
US,2007-09,4.75
US,2007-10,4.5
US,2007-11,4.5
US,2007-12,4.25
US,2008-01,3.0
US,2008-02,3.0
US,2008-03,2.25
US,2008-04,2.0
US,2008-05,2.0
US,2008-06,2.0
US,2008-07,2.0
US,2008-08,2.0
US,2008-09,2.0
US,2008-10,1.0
US,2008-11,1.0
US,2008-12,0.12
US,2009-01,0.12
US,2009-02,0.12
US,2009-03,0.12
US,2009-04,0.12
US,2009-05,0.12
US,2009-06,0.12
US,2009-07,0.12
US,2009-08,0.12
US,2009-09,0.12
US,2009-10,0.12
US,2009-11,0.12
US,2009-12,0.12
US,2010-01,0.12
US,2010-02,0.12
US,2010-03,0.12
US,2010-04,0.12
US,2010-05,0.12
US,2010-06,0.12
US,2010-07,0.12
US,2010-08,0.12
US,2010-09,0.12
US,2010-10,0.12
US,2010-11,0.12
US,2010-12,0.12
US,2011-01,0.12
US,2011-02,0.12
US,2011-03,0.12
US,2011-04,0.12
US,2011-05,0.12
US,2011-06,0.12
US,2011-07,0.12
US,2011-08,0.12
US,2011-09,0.12
US,2011-10,0.12
US,2011-11,0.12
US,2011-12,0.12
US,2012-01,0.12
US,2012-02,0.12
US,2012-03,0.12
US,2012-04,0.12
US,2012-05,0.12
US,2012-06,0.12
US,2012-07,0.12
US,2012-08,0.12
US,2012-09,0.12
US,2012-10,0.12
US,2012-11,0.12
US,2012-12,0.12
US,2013-01,0.12
US,2013-02,0.12
US,2013-03,0.12
US,2013-04,0.12
US,2013-05,0.12
US,2013-06,0.12
US,2013-07,0.12
US,2013-08,0.12
US,2013-09,0.12
US,2013-10,0.12
US,2013-11,0.12
US,2013-12,0.12
US,2014-01,0.12
US,2014-02,0.12
US,2014-03,0.12
US,2014-04,0.12
US,2014-05,0.12
US,2014-06,0.12
US,2014-07,0.12
US,2014-08,0.12
US,2014-09,0.12
US,2014-10,0.12
US,2014-11,0.12
US,2014-12,0.12
US,2015-01,0.12
US,2015-02,0.12
US,2015-03,0.12
US,2015-04,0.12
US,2015-05,0.12
US,2015-06,0.12
US,2015-07,0.12
US,2015-08,0.12
US,2015-09,0.12
US,2015-10,0.12
US,2015-11,0.12
US,2015-12,0.38
US,2016-01,0.38
US,2016-02,0.38
US,2016-03,0.38
US,2016-04,0.38
US,2016-05,0.38
US,2016-06,0.38
US,2016-07,0.38
US,2016-08,0.38
US,2016-09,0.38
US,2016-10,0.38
US,2016-11,0.38
US,2016-12,0.62
US,2017-01,0.62
US,2017-02,0.62
US,2017-03,0.88
US,2017-04,0.88
US,2017-05,0.88
US,2017-06,1.12
US,2017-07,1.12
US,2017-08,1.12
US,2017-09,1.12
US,2017-10,1.12
US,2017-11,1.12
US,2017-12,1.38
US,2018-01,1.38
US,2018-02,1.38
US,2018-03,1.62
US,2018-04,1.62
US,2018-05,1.62
US,2018-06,1.88
US,2018-07,1.88
US,2018-08,1.88
US,2018-09,2.12
US,2018-10,2.12
US,2018-11,2.12
US,2018-12,2.38
US,2019-01,2.38
US,2019-02,2.38
US,2019-03,2.38
US,2019-04,2.38
US,2019-05,2.38
US,2019-06,2.38
US,2019-07,2.38
US,2019-08,2.12
US,2019-09,1.88
US,2019-10,1.62
US,2019-11,1.62
US,2019-12,1.62
US,2020-01,1.62
US,2020-02,1.62
US,2020-03,0.12
US,2020-04,0.12
US,2020-05,0.12
US,2020-06,0.12
US,2020-07,0.12
US,2020-08,0.12
US,2020-09,0.12
US,2020-10,0.12
US,2020-11,0.12
US,2020-12,0.12
US,2021-01,0.12
US,2021-02,0.12
US,2021-03,0.12
US,2021-04,0.12
US,2021-05,0.12
US,2021-06,0.12
US,2021-07,0.12
US,2021-08,0.12
US,2021-09,0.12
US,2021-10,0.12
US,2021-11,0.12
US,2021-12,0.12
US,2022-01,0.12
US,2022-02,0.12
US,2022-03,0.38
US,2022-04,0.38
US,2022-05,0.88
US,2022-06,1.62
US,2022-07,2.38
US,2022-08,2.38
US,2022-09,3.12
US,2022-10,3.12
US,2022-11,3.88
US,2022-12,4.38
US,2023-01,4.38
US,2023-02,4.62
US,2023-03,4.88
US,2023-04,4.88
US,2023-05,5.12
US,2023-06,5.12
US,2023-07,5.38
US,2023-08,5.38
US,2023-09,5.38
US,2023-10,5.38
US,2023-11,5.38
US,2023-12,5.38
US,2024-01,5.38
US,2024-02,5.38
US,2024-03,5.38
US,2024-04,5.38
US,2024-05,5.38
US,2024-06,5.38
US,2024-07,5.38
US,2024-08,5.38
US,2024-09,4.88
