Country,Year,Disposable_Income,Median_Net_Wealth,Household_Below_Poverty
AUS,2004,31443.0,,
AUS,2005,31731.0,,
AUS,2006,32885.0,,
AUS,2007,34159.0,,
AUS,2008,35909.0,,
AUS,2009,35619.0,,
AUS,2010,37073.0,,
AUS,2011,37673.0,,
AUS,2012,37206.0,283524.0,
AUS,2013,37657.0,,
AUS,2014,38181.0,281123.0,
AUS,2015,38217.0,,
AUS,2016,38571.0,,
AUS,2017,38830.0,,
AUS,2018,39314.0,300602.0,
AUS,2019,40525.0,,
AUS,2020,42022.0,,
AUS,2021,42940.0,,
AUT,2004,39569.0,,10.7
AUT,2005,40808.0,,9.6
AUT,2006,41743.0,,7.8
AUT,2007,42595.0,,10.9
AUT,2008,42989.0,,14.0
AUT,2009,42871.0,,15.4
AUT,2010,42478.0,,14.4
AUT,2011,42196.0,121459.0,14.4
AUT,2012,42593.0,,14.0
AUT,2013,41751.0,,14.0
AUT,2014,41771.0,128518.0,14.9
AUT,2015,41336.0,,13.4
AUT,2016,41874.0,,12.8
AUT,2017,42252.0,119022.0,11.5
AUT,2018,42577.0,,11.3
AUT,2019,42837.0,,10.7
AUT,2020,41473.0,,9.4
AUT,2021,42781.0,,10.1
AUT,2022,43452.0,,11.9
AUT,2023,,,13.6
BEL,2004,36928.0,,18.2
BEL,2005,37066.0,,17.1
BEL,2006,37661.0,,16.5
BEL,2007,38276.0,,15.3
BEL,2008,38827.0,,21.4
BEL,2009,38906.0,,21.1
BEL,2010,38334.0,319491.0,20.8
BEL,2011,37957.0,,20.9
BEL,2012,38043.0,,22.1
BEL,2013,38001.0,,21.0
BEL,2014,38084.0,312531.0,20.2
BEL,2015,38164.0,,20.5
BEL,2016,38573.0,,21.5
BEL,2017,39067.0,290904.0,20.9
BEL,2018,39327.0,,19.1
BEL,2019,40129.0,,19.2
BEL,2020,40110.0,,16.7
BEL,2021,41289.0,,15.4
BEL,2022,40770.0,,16.8
BEL,2023,,,15.4
CAN,2004,30210.0,,
CAN,2005,30482.0,,
CAN,2006,31772.0,,
CAN,2007,32548.0,,
CAN,2008,33431.0,,
CAN,2009,33732.0,,
CAN,2010,34497.0,,
CAN,2011,34699.0,,
CAN,2012,35082.0,196127.0,
CAN,2013,35476.0,,
CAN,2014,35520.0,,
CAN,2015,36292.0,,
CAN,2016,35879.0,226878.0,
CAN,2017,36739.0,,
CAN,2018,36909.0,,21.9
CAN,2019,37277.0,226198.0,
CAN,2020,39204.0,,
CAN,2021,39582.0,,20.4
CAN,2022,39065.0,,
CHE,2004,38387.0,,
CHE,2005,39165.0,,
CHE,2006,40203.0,,
CHE,2007,41371.0,,8.0
CHE,2008,41445.0,,8.4
CHE,2009,41696.0,,11.3
CHE,2010,42089.0,,11.0
CHE,2011,42196.0,,12.5
CHE,2012,42828.0,,12.0
CHE,2013,43491.0,,11.5
CHE,2014,43694.0,,12.0
CHE,2015,43926.0,,11.2
CHE,2016,44109.0,,12.6
CHE,2017,43533.0,,12.0
CHE,2018,43499.0,,12.1
CHE,2019,44059.0,,12.3
CHE,2020,45284.0,,10.5
CHE,2021,45189.0,,9.3
CHE,2022,45784.0,,10.0
CHL,2011,,34817.0,
CHL,2014,,46005.0,
CHL,2017,,60127.0,
CRI,2012,14088.0,,
CRI,2013,14274.0,,
CRI,2014,14554.0,,
CRI,2015,15038.0,,
CRI,2016,15953.0,,
CRI,2017,16957.0,,
CRI,2018,17236.0,,
CRI,2019,17405.0,,
CZE,2004,22870.0,,
CZE,2005,23641.0,,30.1
