,Country,Year,YOUTH_NOT_EMPLOY
0,EST,2004,13.289225
1,EST,2005,10.546912
2,EST,2006,9.4574041
3,EST,2007,10.516176
4,EST,2008,7.8717885
5,EST,2009,14.331903
6,EST,2010,15.378451
7,EST,2011,11.899364
8,EST,2012,12.892388
9,EST,2013,11.832273
10,EST,2014,12.315256
11,EST,2015,10.881387
12,EST,2016,9.6078501
13,EST,2017,9.8049841
14,EST,2018,10.670861
15,EST,2019,7.2130351
16,EST,2020,8.8554201
17,EST,2021,11.608479
18,EST,2022,11.670645
19,POL,2004,14.650354
20,POL,2005,12.234298
21,POL,2006,12.69468
22,POL,2007,10.890779
23,POL,2008,9.3220034
24,POL,2009,10.326619
25,POL,2010,11.012839
26,POL,2011,11.765071
27,POL,2012,12.030914
28,POL,2013,12.517287
29,POL,2014,12.298717
30,POL,2015,12.443276
31,POL,2016,12.35
32,POL,2017,9.9398375
33,POL,2018,9.3732967
34,POL,2019,8.8543139
35,POL,2020,9.3502884
36,POL,2021,11.683
37,POL,2022,10.362188
38,PRT,2004,11.841886
39,PRT,2005,11.580561
40,PRT,2006,10.830891
41,PRT,2007,12.127938
42,PRT,2008,10.45138
43,PRT,2009,11.527869
44,PRT,2010,12.065072
45,PRT,2011,13.557874
46,PRT,2012,15.59341
47,PRT,2013,14.793099
48,PRT,2014,16.885265
49,PRT,2015,14.777069
50,PRT,2016,14.206321
51,PRT,2017,11.795432
52,PRT,2018,11.444414
53,PRT,2019,10.515026
54,PRT,2020,10.350573
55,PRT,2021,11.244765
56,PRT,2022,8.9966564
57,DEU,2004,10.506956
58,DEU,2005,11.55182
59,DEU,2006,10.301951
60,DEU,2007,9.5753431
61,DEU,2008,8.8640461
62,DEU,2009,8.8915682
63,DEU,2010,8.8976908
64,DEU,2011,8.4599857
65,DEU,2012,7.4434748
66,DEU,2013,6.8844528
67,DEU,2014,6.7445884
68,DEU,2015,6.0956535
69,DEU,2016,7.1934681
70,DEU,2017,6.9709692
71,DEU,2018,6.987309
72,DEU,2019,5.9228711
73,DEU,2021,8.0822182
74,DEU,2022,6.9200516
75,JPN,2005,8.6664915
76,JPN,2006,8.4224176
77,JPN,2007,8.269598
78,JPN,2008,7.5951519
79,JPN,2009,8.7537937
80,JPN,2010,8.3876295
81,JPN,2011,8.3214922
82,JPN,2012,7.895412
83,JPN,2013,7.3941455
84,JPN,2014,6.7143769
85,JPN,2016,6.7443795
86,JPN,2017,6.5778518
87,JPN,2018,5.2412643
88,JPN,2019,5.6856189
89,JPN,2021,6.4047823
90,JPN,2022,6.1685491
91,CHL,2009,22.17662
92,CHL,2011,20.515585
93,CHL,2013,17.144602
94,CHL,2015,16.342464
95,CHL,2017,17.183151
96,CHL,2020,21.074551
97,ISR,2004,32.990765
98,ISR,2005,33.954201
99,ISR,2006,33.26614
100,ISR,2007,32.620743
101,ISR,2008,29.652491
102,ISR,2009,30.828192
103,ISR,2010,30.469543
104,ISR,2011,30.829447
105,ISR,2012,14.650268
106,ISR,2013,13.502465
107,ISR,2014,13.094334
108,ISR,2015,13.59613
109,ISR,2016,12.542287
110,ISR,2017,12.169596
111,ISR,2018,12.73777
112,ISR,2019,12.881015
113,ISR,2020,13.112404
114,ISR,2021,16.224499
115,ISR,2022,12.959865
116,SVN,2004,8.0243807
117,SVN,2005,9.2404842
118,SVN,2006,9.2453585
119,SVN,2007,7.6216273
120,SVN,2008,7.610734
121,SVN,2009,7.5043778
122,SVN,2010,6.6367435
123,SVN,2011,7.794889
124,SVN,2012,8.0635796
125,SVN,2013,9.1596098
126,SVN,2014,9.3214607
127,SVN,2015,11.544705
128,SVN,2016,7.8444781
129,SVN,2017,7.1024179
130,SVN,2018,7.1686435
131,SVN,2019,6.3177996
132,SVN,2020,7.6025891
133,SVN,2021,7.7422709
134,SVN,2022,10.106948
135,IRL,2004,8.4715414
136,IRL,2005,8.6503954
137,IRL,2006,8.6856546
138,IRL,2007,8.9522543
139,IRL,2008,11.805021
140,IRL,2009,16.180515
141,IRL,2010,18.661366
142,IRL,2011,18.054987
143,IRL,2012,17.751419
144,IRL,2013,16.211721
145,IRL,2014,14.804914
146,IRL,2015,13.393236
147,IRL,2016,12.675678
148,IRL,2017,11.208483
149,IRL,2018,9.6018734
150,IRL,2019,9.535881
151,IRL,2020,9.3188
152,IRL,2021,8.8198032
153,IRL,2022,6.9612479
